chr22	600000	1120000
chr22	1160000	1240000
chr22	1280000	1440000
chr22	18000000	18320000
chr22	18520000	18640000
chr22	19920000	20520000
chr22	20560000	20800000
chr22	21160000	21320000
chr22	21440000	21760000
chr22	21880000	21960000
chr22	22680000	23120000
chr22	23560000	23680000
chr22	23680000	23840000
chr22	24200000	24320000
chr22	25040000	25160000
chr22	25200000	25280000
chr22	25400000	25560000
chr22	25800000	26200000
chr22	26240000	26400000
chr22	27400000	27600000
chr22	27800000	28280000
chr22	28320000	28560000
chr22	28600000	28720000
chr22	28840000	29280000
chr22	29851432	32611432
chr22	32811432	32851432
chr22	33451432	33851432
chr22	33931432	34371432
chr22	34891432	35451432
chr22	35691432	35811432
chr22	35851432	36211432
chr22	36411432	36971432
chr22	37291432	38371432
chr22	38851432	39051432
chr22	39131432	39851432
chr22	40331432	40371432
chr22	40491432	41011432
chr22	41091432	43211432
chr22	43291432	43331432
chr22	45291432	45331432
chr22	45491432	46051432
chr22	46491432	46771432
chr22	46811432	46851432
chr22	47291432	47371432
chr22	47971432	48291432
chr22	49331432	49451432
